,movie_id,user_id,score,text,time
0,3,169,1.93903,Pretty good!,2018-12-01 19:01:49
1,6,57,4.33041,Pretty good!,2018-12-01 19:01:49
2,47,177,0.834943,Pretty good!,2018-12-01 19:01:49
3,50,111,1.1835,Pretty good!,2018-12-01 19:01:49
4,70,24,3.41266,Not bad!,2018-12-01 19:01:49
5,101,187,3.51282,Pretty good!,2018-12-01 19:01:49
6,110,63,2.3261,Pretty good!,2018-12-01 19:01:49
7,151,153,1.09206,Pretty good!,2018-12-01 19:01:49
8,157,173,3.48199,Pretty good!,2018-12-01 19:01:49
9,163,5,4.13379,Pretty good!,2018-12-01 19:01:49
10,216,106,0.222965,Pretty good!,2018-12-01 19:01:49
11,223,116,3.71346,Not bad!,2018-12-01 19:01:49
12,231,58,2.89838,Pretty good!,2018-12-01 19:01:49
13,235,142,3.35155,Pretty good!,2018-12-01 19:01:49
14,260,134,3.06262,Pretty good!,2018-12-01 19:01:49
15,296,42,0.258435,Not bad!,2018-12-01 19:01:49
16,316,7,2.10432,Not bad!,2018-12-01 19:01:49
17,333,108,4.74628,Pretty good!,2018-12-01 19:01:49
18,349,119,2.41847,Pretty good!,2018-12-01 19:01:49
19,356,68,2.85349,Pretty good!,2018-12-01 19:01:49
20,362,183,2.01204,Pretty good!,2018-12-01 19:01:49
21,367,112,1.49972,Pretty good!,2018-12-01 19:01:49
22,423,7,1.46249,Not bad!,2018-12-01 19:01:49
23,441,101,2.81327,Pretty good!,2018-12-01 19:01:49
24,457,81,4.6789,Pretty good!,2018-12-01 19:01:49
25,480,101,4.95469,Pretty good!,2018-12-01 19:01:49
26,500,63,0.736765,Not bad!,2018-12-01 19:01:49
27,527,8,3.81974,Pretty good!,2018-12-01 19:01:49
28,543,50,1.88842,Pretty good!,2018-12-01 19:01:49
29,552,26,2.98287,Pretty good!,2018-12-01 19:01:49
30,553,180,4.24909,Pretty good!,2018-12-01 19:01:49
31,590,22,2.29685,Pretty good!,2018-12-01 19:01:49
32,592,166,3.73698,Pretty good!,2018-12-01 19:01:49
33,593,165,1.79433,Pretty good!,2018-12-01 19:01:49
34,596,125,2.76073,Pretty good!,2018-12-01 19:01:49
35,608,131,3.42067,Pretty good!,2018-12-01 19:01:49
36,648,76,3.82117,Not bad!,2018-12-01 19:01:49
37,661,187,3.84381,Pretty good!,2018-12-01 19:01:49
38,673,106,2.75553,Not bad!,2018-12-01 19:01:49
39,733,167,2.24626,Pretty good!,2018-12-01 19:01:49
40,736,117,2.96467,Not bad!,2018-12-01 19:01:49
41,780,82,3.08459,Not bad!,2018-12-01 19:01:49
42,804,58,1.52895,Pretty good!,2018-12-01 19:01:49
43,919,45,3.39097,Pretty good!,2018-12-01 19:01:49
44,923,49,2.36799,Pretty good!,2018-12-01 19:01:49
45,940,110,1.66705,Pretty good!,2018-12-01 19:01:49
46,943,3,1.23128,Pretty good!,2018-12-01 19:01:49
